"";"spatial_code";"spatial_name";"spatial_type";"spatial_date";"temporal_date";"temporal_type";"measure";"value"
"83";"GK11";"Oud-Zuid";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";7,52
"84";"GK11";"Oud-Zuid";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";35,66
"85";"GK11";"Oud-Zuid";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";70,45
"86";"GK11";"Oud-Zuid";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";27,55
"87";"GK11";"Oud-Zuid";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0
"88";"GK11";"Oud-Zuid";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";1,98
"89";"GK12";"Buitenveldert, Zuidas";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";24,92
"90";"GK12";"Buitenveldert, Zuidas";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";25,57
"91";"GK12";"Buitenveldert, Zuidas";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";12,12
"92";"GK12";"Buitenveldert, Zuidas";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";37,38
"93";"GK12";"Buitenveldert, Zuidas";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";78,86
"94";"GK12";"Buitenveldert, Zuidas";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";14,63
"95";"GK12";"Buitenveldert, Zuidas";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0,84
"96";"GK12";"Buitenveldert, Zuidas";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";5,68
"97";"GK13";"De Pijp, Rivierenbuurt";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";30,76
"98";"GK13";"De Pijp, Rivierenbuurt";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";25,42
"99";"GK13";"De Pijp, Rivierenbuurt";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";5,76
"100";"GK13";"De Pijp, Rivierenbuurt";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";38,06
"101";"GK13";"De Pijp, Rivierenbuurt";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";89,94
"102";"GK13";"De Pijp, Rivierenbuurt";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";8,25
